SUBST�NCIA;PF 17% ALC;PF 17;TIPO DE PRODUTO;COMERCIALIZA��O 2019
CLORIDRATO DE MEMANTINA;155,54;155,54;Similar;Sim
ITRACONAZOL;4451,41;4451,41;Similar;Não
RAMELTEONA;21,30;24,47;Novo;Não
"NICOTINAMIDA;NITRATO DE TIAMINA;GLICINATO FÉRRICO;RIBOFLAVINA;DEXPANTENOL;CIANOCOBALAMINA";14,52;16,68;Específico;Sim
MESILATO DE DOXAZOSINA;77,37;77,37;Similar;Não
LISINOPRIL;66,20;66,20;Genérico;Não
RISPERIDONA;15,36;15,36;Similar;Não
LEVOTIROXINA SÓDICA;10,87;10,87;Novo;Sim
ALBUMINA HUMANA;822,72;822,72;Novo;Não
BROMIDRATO DE CITALOPRAM;22,00;22,00;Genérico;Não
ETANERCEPTE;1880,05;1880,05;Biológico;Não
ACETATO DE OCTREOTIDA;8363,82;8363,82;Novo;Sim
MALEATO DE LEVOMEPROMAZINA;283,23;283,23;Genérico;Sim
DIDROGESTERONA;20,25;23,26;Novo;Sim
CLORIDRATO DE RANITIDINA;29,23;29,23;Genérico;Sim
ACETATO DE RACEALFATOCOFEROL;44,84;51,51;Específico;Não
CLORIDRATO DE IRINOTECANO TRIIDRATADO;7244,85;7244,85;Similar;Não
SULFATO DE GENTAMICINA;10,71;10,71;Genérico;Não
PACLITAXEL;38970,57;38970,57;Genérico;Não
"LORATADINA;SULFATO DE PSEUDOEFEDRINA";19,41;22,29;Genérico;Sim
ÁCIDO ACETILSALICÍLICO;8,40;9,65;Novo;Sim
"SULFATO DE NEOMICINA;BACITRACINA ZÍNCICA";13,09;15,04;Genérico;Sim
TOPIRAMATO;221,25;221,25;Similar;Não
MESILATO DE DOXAZOSINA;36,39;36,39;Similar;Sim
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";67,13;67,13;Genérico;Sim
SULFATO DE TOBRAMICINA;339,01;339,01;Novo;Sim
FLUCONAZOL;186,83;186,83;Genérico;Sim
HEMIFUMARATO DE QUETIAPINA;215,20;215,20;Genérico;Sim
ALENDRONATO DE SÓDIO TRI-HIDRATADO;1546,64;1546,64;Similar;Sim
METRONIDAZOL;484,13;484,13;Similar;Sim
CLORIDRATO DE MEMANTINA;155,65;155,65;Genérico;Não
GLICEROL;119,71;137,51;Similar;Não
BITARTARATO DE METARAMINOL;247,72;247,72;Similar;Sim
TAFLUPROSTA;77,14;88,61;Novo;Sim
"HESPERIDINA;DIOSMINA";89,69;103,04;Específico;Sim
HEMIFUMARATO DE QUETIAPINA;53,28;53,28;Similar;Não
RISPERIDONA;9,14;9,14;Similar;Não
CLORIDRATO DE CINACALCETE;279,91;321,54;Genérico;Não
PANTOPRAZOL;18,36;18,36;Genérico;Não
BENZOILMETRONIDAZOL;1227,71;1227,71;Similar;Não
MIDAZOLAM;345,66;345,66;Similar;Sim
BROMIDRATO DE GALANTAMINA;212,27;212,27;Genérico;Não
CETOCONAZOL;22,73;22,73;Genérico;Sim
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP;;;Biológico;Não
DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO;;;Genérico;Não
PITAVASTATINA CÁLCICA;78,71;90,42;Similar;Sim
MINOXIDIL;60,20;69,15;Similar;Não
TOPIRAMATO;31,90;31,90;Similar;Não
SULFADIAZINA DE PRATA;55,24;55,24;Genérico;Não
CLORIDRATO DE FLUOXETINA;97,90;97,90;Similar;Sim
ALPRAZOLAM;28,22;28,22;Genérico;Sim
NIMESULIDA;23,27;23,27;Genérico;Sim
CLORIDRATO DE RANITIDINA;20,40;20,40;Genérico;Sim
CLORIDRATO DE ROPIVACAÍNA;283,86;283,86;Similar;Sim
CEFOTAXIMA SÓDICA;850,58;850,58;Similar;Sim
GLIMEPIRIDA;46,42;46,42;Genérico;Sim
LEVETIRACETAM;24,39;28,01;Similar;Não
CARVEDILOL;71,64;71,64;Genérico;Sim
DACARBAZINA;71,36;71,36;Similar;Sim
GENFIBROZILA;72,10;72,10;Genérico;Não
VILDAGLIPTINA;141,20;141,20;Novo;Sim
"ATENOLOL;CLORTALIDONA";25,41;25,41;Similar;Sim
PASSIFLORA INCARNATA;42,87;49,24;Fitoterápico;Sim
ESOMEPRAZOL SÓDICO;502,47;502,47;Novo;Sim
"CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO;ÁCIDO ACÉTICO";;;Específico;Não
"DEXAMETASONA;TOBRAMICINA";21,60;21,60;Similar;Sim
CLORIDRATO DE CICLOBENZAPRINA;10,21;11,73;Similar;Não
GADOVERSETAMIDA;2091,70;2091,70;Novo;Sim
ATENOLOL;62,31;62,31;Similar;Não
ÁCIDO DESOXICÓLICO;4359,16;5007,52;Novo;Não
NITAZOXANIDA;39,16;44,98;Genérico;Sim
LINEZOLIDA;1924,00;1924,00;Genérico;Sim
SULFATO DE ZINCO;8,33;9,56;Similar;Sim
VORICONAZOL;522,43;522,43;Similar;Não
EXTRATO DE AESCULUS HIPPOCASTANUM (CASTANHA-DA-ÍNDIA);62,28;71,55;Fitoterápico;Não
"FOSFATO DE SÓDIO MONOBÁSICO MONOIDRATADO;FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO";9,72;11,17;Específico;Sim
MONTELUCASTE DE SÓDIO;61,07;61,07;Similar;Sim
ALPRAZOLAM;11,36;11,36;Genérico;Não
LOSARTANA POTÁSSICA;34,59;34,59;Genérico;Sim
"SULFATO POLICRISTALINO DE GLICOSAMINA;CONDROITINA SULFATO DE SÓDIO";184,12;184,12;Novo;Sim
PARACETAMOL;56,67;65,10;Genérico;Sim
"NICOTINAMIDA;CLORIDRATO DE TIAMINA;FOSFATO SÓDICO DE RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA";77,76;89,33;Específico;Não
HEMITARTARATO DE ZOLPIDEM;57,28;57,28;Similar;Não
ATENOLOL;42,48;42,48;Genérico;Não
CITARABINA;9,73;9,73;Similar;Não
AFLIBERCEPTE;3991,69;3991,69;Biológico;Sim
BROMOPRIDA;15,89;18,25;Genérico;Sim
CLORIDRATO DE AMITRIPTILINA;19,98;19,98;Genérico;Sim
ESOMEPRAZOL MAGNÉSICO;171,40;171,40;Similar;Não
ROSUVASTATINA CÁLCICA;93,69;93,69;Genérico;Sim
ÁCIDO FÓLICO;10,69;12,28;Similar;Sim
ATORVASTATINA CÁLCICA;483,60;483,60;Similar;Não
CAPTOPRIL;9,45;9,45;Genérico;Não
OXALATO DE ESCITALOPRAM;140,63;140,63;Genérico;Não
RISPERIDONA;84,20;84,20;Similar;Não
OMALIZUMABE;1081,83;1081,83;Biológico;Não
HIALURONATO DE SÓDIO;41,01;41,01;Específico;Não
GLICLAZIDA;16,59;16,59;Genérico;Sim
"ETINILESTRADIOL;DROSPIRENONA";39,39;39,39;Genérico;Sim
INSULINA HUMANA;;;Biológico;Não
"BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA";121,90;140,03;Similar;Sim
CLORIDRATO DE EPIRRUBICINA;89,87;89,87;Novo;Não
"ROSUVASTATINA CÁLCICA;EZETIMIBA";247,14;283,90;Novo;Não
POLISSULFATO DE MUCOPOLISSACARÍDEO;16,61;19,08;Novo;Sim
HEMIFUMARATO DE QUETIAPINA;49,82;49,82;Novo;Sim
CILOSTAZOL;58,05;58,05;Similar;Sim
PARACETAMOL;2,08;2,38;Genérico;Sim
BIMATOPROSTA;104,14;104,14;Genérico;Não
CLORIDRATO DE PIOGLITAZONA;16,37;16,37;Genérico;Não
ERITROPOIETINA;2108,57;2108,57;Biológico;Não
OMEPRAZOL SÓDICO;1769,48;2032,66;Similar;Sim
OLANZAPINA;557,94;557,94;Genérico;Não
CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;111,55;111,55;Genérico;Sim
ÁCIDO FÓLICO;26,61;30,57;Específico;Não
SULFAMETOXAZOL;14,69;14,69;Similar;Sim
SULFATO DE GENTAMICINA;8,13;8,13;Novo;Sim
"FOSFATO DE CÁLCIO TRIBÁSICO;COLECALCIFEROL";71,70;82,36;Específico;Sim
OMEPRAZOL;145,67;145,67;Similar;Sim
ALBENDAZOL;16,95;16,95;Similar;Sim
DESLORATADINA;11,96;13,74;Similar;Não
CLORIDRATO DE METFORMINA;227,54;227,54;Similar;Não
"BENZENO;MENTOL";13,82;15,88;Novo;Sim
NICOTINA;49,63;49,63;Novo;Não
BETAOCTOCOGUE;4723,71;4723,71;Biológico;Não
MELOXICAM;26,90;26,90;Genérico;Sim
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";26,78;26,78;Genérico;Não
CLORIDRATO DE CICLOBENZAPRINA;22,20;25,51;Genérico;Não
ALENDRONATO DE SÓDIO;23,06;23,06;Genérico;Sim
ARIPIPRAZOL;398,01;398,01;Genérico;Não
PROPILTIOURACILA;18,96;18,96;Similar;Não
"SULFATO DE NEOMICINA;BACITRACINA ZÍNCICA";6,31;7,25;Genérico;Sim
FUROSEMIDA;201,61;201,61;Genérico;Sim
CLORIDRATO DE BETAISTINA;35,57;40,87;Novo;Sim
CETOCONAZOL;1100,19;1263,83;Genérico;Não
COLECALCIFEROL;38,51;44,24;Específico;Não
COLECALCIFEROL;19,02;21,85;Específico;Não
ACITRETINA;478,29;478,29;Novo;Sim
CLORIDRATO DE TERBINAFINA;142,42;142,42;Genérico;Não
CEFTAZIDIMA;51,24;51,24;Novo;Não
INSULINA LISPRO;43,33;43,33;Biológico;Sim
OXALATO DE ESCITALOPRAM;97,47;97,47;Similar;Sim
PARACETAMOL;118,20;135,78;Genérico;Não
PARACETAMOL;10,57;12,15;Similar;Sim
LACTULOSE;25,75;29,58;Similar;Sim
"CLORIDRATO DE DIFENIDRAMINA;CÂNFORA (2-BORNANONA);CALAMINA";14,61;16,78;Similar;Não
CLORIDRATO DE NORTRIPTILINA;43,23;43,23;Genérico;Sim
CLORIDRATO DE CICLOBENZAPRINA;10,36;10,36;Genérico;Não
PASSIFLORA INCARNATA;28,51;32,75;Fitoterápico;Sim
CLORIDRATO DE TRAMADOL;47,72;47,72;Similar;Não
"ESTRADIOL HEMI-HIDRATADO;ACETATO DE NORETISTERONA";91,17;91,17;Similar;Sim
CILOSTAZOL;23,59;23,59;Genérico;Sim
RISPERIDONA;171,77;171,77;Genérico;Não
FOTEMUSTINA;4078,18;4078,18;Novo;Sim
CLONAZEPAM;23,31;23,31;Genérico;Não
IMUNOGLOBULINA HUMANA ;212,83;236,32;Biológico;Não
CETOCONAZOL;44,04;50,59;Similar;Não
ÁGUA PARA INJETÁVEIS QSP;48,13;48,13;Específico;Não
RUFINAMIDA;277,10;318,31;Novo;Não
SACCHAROMYCES BOULARDII;41,18;47,30;Biológico;Não
LAMOTRIGINA;104,84;104,84;Genérico;Não
